iter	Passed	Remaining
0	1	195
1	3	191
2	5	174
3	7	175
4	9	182
5	12	190
6	14	197
7	17	200
8	20	208
9	22	200
10	23	192
11	25	185
12	26	179
13	28	174
14	29	169
15	31	165
16	33	163
17	34	159
18	36	155
19	38	152
20	39	148
21	41	145
22	42	142
23	44	139
24	45	136
25	47	134
26	49	133
27	50	130
28	52	128
29	54	126
30	55	123
31	57	121
32	58	118
33	60	116
34	61	114
35	63	112
36	64	110
37	66	108
38	67	106
39	69	103
40	70	101
41	72	99
42	73	97
43	75	95
44	77	94
45	80	93
46	81	91
47	83	89
48	84	88
49	86	86
50	87	84
51	89	82
52	91	81
53	94	80
54	97	79
55	99	78
56	101	76
57	103	74
58	105	73
59	106	71
60	108	69
61	111	68
62	113	66
63	115	65
64	117	63
65	118	61
66	120	59
67	124	58
68	126	57
69	129	55
70	132	54
71	136	53
72	141	52
73	142	50
74	144	48
75	145	46
76	147	43
77	149	42
78	150	40
79	152	38
80	156	36
81	157	34
82	159	32
83	163	31
84	165	29
85	167	27
86	169	25
87	170	23
88	172	21
89	177	19
90	178	17
91	181	15
92	184	13
93	185	11
94	188	9
95	190	7
96	192	5
97	195	3
98	198	2
99	199	0
